Parsing Table: 
Table                                           $                                               +                                               -                                               *                                               /                                               =                                               <                                               >                                               (                                               )                                               {                                               }                                               :=                                              ;                                               and                                             else                                            end                                             ic                                              id                                              if                                              int                                             do                                              fc                                              float                                           not                                             or                                              print                                           prog                                            scan                                            str                                             then                                            while                                           
AE                                              None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            AE -> [['NE', "AE'"]]                           None                                            AE -> [['NE', "AE'"]]                           None                                            None                                            None                                            None                                            None                                            None                                            AE -> [['NE', "AE'"]]                           AE -> [['NE', "AE'"]]                           None                                            None                                            None                                            AE -> [['NE', "AE'"]]                           None                                            AE -> [['NE', "AE'"]]                           None                                            None                                            None                                            None                                            None                                            None                                            None                                            
BE                                              None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            BE -> [['AE', "BE'"]]                           None                                            BE -> [['AE', "BE'"]]                           None                                            None                                            None                                            None                                            None                                            None                                            BE -> [['AE', "BE'"]]                           BE -> [['AE', "BE'"]]                           None                                            None                                            None                                            BE -> [['AE', "BE'"]]                           None                                            BE -> [['AE', "BE'"]]                           None                                            None                                            None                                            None                                            None                                            None                                            None                                            
D                                               None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            D -> [['TY', 'VL', ';']]                        None                                            None                                            D -> [['TY', 'VL', ';']]                        None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
DL                                              DL -> [['epsilon']]                             None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            DL -> [['epsilon']]                             DL -> [['epsilon']]                             DL -> [['D', 'DL']]                             None                                            None                                            DL -> [['D', 'DL']]                             None                                            None                                            DL -> [['epsilon']]                             None                                            DL -> [['epsilon']]                             None                                            None                                            DL -> [['epsilon']]                             
E                                               None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            E -> [['T', "E''"]]                             None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            E -> [['T', "E''"]]                             E -> [['T', "E''"]]                             None                                            None                                            None                                            E -> [['T', "E''"]]                             None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
F                                               None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            F -> [['(', 'E', ')']]                          None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            F -> [['ic']]                                   F -> [['id']]                                   None                                            None                                            None                                            F -> [['fc']]                                   None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
ES                                              None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            ES -> [['id', ':=', 'E', ';']]                  None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
IOS                                             None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            IOS -> [['print', 'PE']]                        None                                            IOS -> [['scan', 'id']]                         None                                            None                                            None                                            
IS                                              None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            IS -> [['if', 'BE', 'then', 'SL', "IS'"]]       None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            
NE                                              None                                            None                                            None                                            None                                            None                                            None                                            None                                            None                                            NE -> [['RE']]                                  None                                            NE -> [['{', 'BE', '}']]                        None                                            None                                            None                                            None                                            None                                            None                                            NE -> [['RE']]                                  NE -> [['RE']]                                  None                                            None                                            None                                            NE -> [['RE']]                                  None                                            NE -> [['not', 'NE']]                           None                                            None                                            None                                            None                                            None                                            None                                            None                                            
